week_start,seasonality_index,competitor_spend_index,cpi,promo_flag,promo_intensity,google_trends_brand
2022-01-03,0.82,0.984,100.24,0,0.0,53
2022-01-10,0.82,0.9982,100.36,0,0.0,56
2022-01-17,0.82,1.06,100.3,0,0.0,50
2022-01-24,0.82,1.0347,101.17,0,0.0,61
2022-01-31,0.82,1.1749,99.59,0,0.0,60
2022-02-07,1.0,1.0716,100.62,0,0.0,48
2022-02-14,1.0,1.1177,101.56,0,0.0,69
2022-02-21,1.0,1.1608,100.69,0,0.0,72
2022-02-28,1.0,1.2036,99.07,0,0.0,72
2022-03-07,1.0,1.0957,99.61,0,0.0,67
2022-03-14,1.0,1.1194,102.41,0,0.0,61
2022-03-21,1.0,1.2094,103.37,0,0.0,50
2022-03-28,1.0,1.1894,103.16,0,0.0,71
2022-04-04,1.0,1.2038,101.86,0,0.0,78
2022-04-11,1.0,1.0805,99.83,0,0.0,77
2022-04-18,1.0,1.223,101.74,0,0.0,75
2022-04-25,1.0,1.1022,104.21,0,0.0,68
2022-05-02,1.0,1.1424,102.91,0,0.0,76
2022-05-09,1.0,1.116,101.79,0,0.0,73
2022-05-16,1.0,1.0684,103.16,0,0.0,61
2022-05-23,1.0,1.0288,100.43,0,0.0,68
2022-05-30,1.0,0.998,101.4,0,0.0,57
2022-06-06,1.0,1.0757,100.94,0,0.0,63
2022-06-13,1.0,0.9769,103.38,0,0.0,46
2022-06-20,1.0,0.9792,103.87,0,0.0,45
2022-06-27,0.88,1.0072,102.68,0,0.0,60
2022-07-04,0.88,0.8681,101.72,1,0.12,57
2022-07-11,0.88,1.0209,103.12,1,0.12,52
2022-07-18,0.88,0.8436,102.53,1,0.12,45
2022-07-25,0.88,0.9429,102.18,0,0.0,23
2022-08-01,0.88,0.931,104.0,0,0.0,40
2022-08-08,0.88,0.9417,102.47,0,0.0,42
2022-08-15,0.88,0.8984,101.38,0,0.0,32
2022-08-22,0.88,0.9886,101.83,0,0.0,29
2022-08-29,0.88,0.8874,101.56,0,0.0,45
2022-09-05,1.0,0.9199,104.45,0,0.0,31
2022-09-12,1.0,0.8236,104.42,0,0.0,34
2022-09-19,1.0,0.8604,104.46,0,0.0,36
2022-09-26,1.0,0.9285,105.31,0,0.0,22
2022-10-03,1.0121,0.8381,106.33,0,0.0,31
2022-10-10,1.0544,0.8607,103.77,0,0.0,40
2022-10-17,1.0967,0.9034,105.39,0,0.0,45
2022-10-24,1.139,0.8226,102.52,0,0.0,31
2022-10-31,1.1813,0.7591,107.08,0,0.0,30
2022-11-07,1.2236,0.8893,103.26,0,0.0,35
2022-11-14,1.2659,0.9372,104.18,0,0.0,36
2022-11-21,1.3082,0.833,104.46,1,0.35,47
2022-11-28,1.3505,0.9483,103.19,1,0.35,30
2022-12-05,1.3929,0.9641,105.64,1,0.25,38
2022-12-12,1.4352,0.8331,106.03,1,0.25,33
2022-12-19,1.4775,0.9173,105.54,1,0.25,37
2022-12-26,1.5198,0.9621,103.63,0,0.0,50
2023-01-02,0.82,0.991,109.03,0,0.0,56
2023-01-09,0.82,0.9809,107.0,0,0.0,47
2023-01-16,0.82,0.996,110.24,0,0.0,60
2023-01-23,0.82,1.1368,105.2,0,0.0,65
2023-01-30,0.82,1.0643,107.96,0,0.0,74
2023-02-06,1.0,1.0505,107.81,0,0.0,61
2023-02-13,1.0,1.0974,106.32,0,0.0,58
2023-02-20,1.0,1.1391,108.99,0,0.0,56
2023-02-27,1.0,1.126,106.38,0,0.0,57
2023-03-06,1.0,1.1225,106.57,0,0.0,77
2023-03-13,1.0,1.1078,102.02,0,0.0,56
2023-03-20,1.0,1.1125,107.95,0,0.0,79
2023-03-27,1.0,1.119,105.47,0,0.0,62
2023-04-03,1.0,1.1669,106.75,0,0.0,64
2023-04-10,1.0,1.0992,106.15,0,0.0,68
2023-04-17,1.0,1.1653,107.26,0,0.0,63
2023-04-24,1.0,1.2109,108.59,0,0.0,76
2023-05-01,1.0,1.1491,108.06,0,0.0,82
2023-05-08,1.0,1.105,109.22,0,0.0,61
2023-05-15,1.0,1.0474,110.17,0,0.0,61
2023-05-22,1.0,1.1784,107.84,0,0.0,61
2023-05-29,1.0,1.0267,107.79,0,0.0,65
2023-06-05,1.0,1.1121,110.06,0,0.0,58
2023-06-12,1.0,1.0851,110.29,0,0.0,68
2023-06-19,1.0,1.0241,109.97,0,0.0,63
2023-06-26,0.88,1.0049,107.54,0,0.0,42
2023-07-03,0.88,0.9082,109.72,1,0.12,54
2023-07-10,0.88,0.9984,109.37,1,0.12,59
2023-07-17,0.88,0.9951,110.9,1,0.12,41
2023-07-24,0.88,0.8924,108.58,0,0.0,40
2023-07-31,0.88,0.9225,107.05,0,0.0,36
2023-08-07,0.88,0.9167,110.71,0,0.0,34
2023-08-14,0.88,0.9298,105.95,0,0.0,23
2023-08-21,0.88,0.8879,108.81,0,0.0,24
2023-08-28,0.88,0.7952,108.48,0,0.0,34
2023-09-04,1.0,0.8407,108.59,0,0.0,44
2023-09-11,1.0,0.871,109.13,0,0.0,26
2023-09-18,1.0,0.8964,112.19,0,0.0,25
