week_start,week_number,year,quarter,revenue_usd,spend_tv_brand,impressions_tv_brand,spend_paid_search_google,impressions_paid_search_google,spend_paid_social_facebook,impressions_paid_social_facebook,spend_paid_social_instagram,impressions_paid_social_instagram,spend_display_programmatic,impressions_display_programmatic,spend_email_marketing,impressions_email_marketing,spend_affiliate,impressions_affiliate,spend_influencer,impressions_influencer,spend_ooh_outdoor,impressions_ooh_outdoor,spend_podcast_radio,impressions_podcast_radio
2022-01-03,1,2022,Q1,855880.71,27345.07,3418133,31562.68,6312536,41353.41,3446117,15722.72,1123051,9479.27,2708361,3251.04,4063796,9019.33,0,0.0,0,18915.29,3152548,4870.99,487098
2022-01-10,2,2022,Q1,882358.65,52059.55,6507443,22081.01,4416201,28818.64,2401553,37232.08,2659434,0.0,0,3796.89,4746116,3962.37,0,16396.58,910921,14097.29,2349547,9439.5,943949
2022-01-17,3,2022,Q1,905504.97,51134.06,6391757,24647.59,4929517,23888.04,1990669,0.0,0,20478.95,5851128,3452.98,4316229,5219.08,0,5728.0,318222,54494.33,9082388,10254.08,1025407
2022-01-24,4,2022,Q1,880395.06,71066.36,8883295,35441.99,7088397,16241.15,1353428,15336.09,1095435,12419.01,3548288,2904.43,3630540,6368.09,0,7432.31,412905,12202.9,2033816,0.0,0
2022-01-31,5,2022,Q1,905654.47,0.0,0,81639.9,16327979,17404.14,1450344,19028.52,1359180,12774.19,3649767,2521.68,3152097,13772.1,0,7759.71,431094,18787.0,3131166,0.0,0
2022-02-07,6,2022,Q1,1109356.29,44525.84,5565730,48235.08,9647016,37576.67,3131389,13649.54,974967,19983.55,5709586,4186.23,5232792,5927.19,0,14460.6,803366,15410.67,2568444,5789.99,578999
2022-02-14,7,2022,Q1,1159825.85,70209.61,8776201,44720.59,8944117,24962.33,2080194,21229.37,1516383,0.0,0,3974.1,4967620,26306.06,0,0.0,0,21298.94,3549823,0.0,0
2022-02-21,8,2022,Q1,1149716.12,61326.75,7665844,31323.85,6264770,29211.91,2434326,31437.05,2245503,18623.37,5320962,4555.07,5693842,12355.64,0,40321.98,2240109,14895.72,2482619,20638.26,2063825
2022-02-28,9,2022,Q1,1067678.86,23251.21,2906400,35815.53,7163105,33121.89,2760157,15051.03,1075073,14265.79,4075939,3641.09,4551361,11068.73,0,26344.68,1463593,16614.95,2769157,8990.26,899025
2022-03-07,10,2022,Q1,1112911.32,34867.64,4358455,67778.89,13555778,50963.76,4246979,12730.62,909329,22835.71,6524489,4952.81,6191016,9199.33,0,32377.32,1798740,9931.11,1655184,14491.79,1449178
2022-03-14,11,2022,Q1,1057377.53,63354.41,7919300,23825.82,4765163,43541.3,3628441,17224.73,1230338,10651.33,3043236,3641.32,4551644,8362.22,0,6590.66,366147,23179.98,3863330,10964.49,1096448
2022-03-21,12,2022,Q1,1030901.12,106364.85,13295605,33771.03,6754205,33634.84,2802903,18354.51,1311036,20226.39,5778969,3072.46,3840578,6810.59,0,13645.65,758091,18043.44,3007239,0.0,0
2022-03-28,13,2022,Q1,1109025.2,49686.53,6210816,49890.16,9978032,50021.33,4168443,26399.33,1885666,15872.72,4535063,3177.15,3971442,4537.26,0,7698.53,427696,29146.1,4857682,10230.56,1023056
2022-04-04,14,2022,Q2,926730.34,43049.95,5381243,31777.56,6355511,41640.92,3470077,17031.58,1216541,7144.4,2041257,3885.8,4857255,6021.81,0,5099.37,283298,21273.64,3545606,8059.84,805984
2022-04-11,15,2022,Q2,991329.28,57815.01,7226875,45037.06,9007411,19038.7,1586558,15501.91,1107279,6928.32,1979520,3120.59,3900740,20425.48,0,15573.35,865185,14677.57,2446261,31046.99,3104699
2022-04-18,16,2022,Q2,1040284.8,41973.81,5246725,38435.41,7687081,49354.92,4112910,0.0,0,12415.1,3547170,4944.48,6180598,11961.77,0,12019.31,667739,12879.63,2146604,11641.5,1164149
2022-04-25,17,2022,Q2,1026322.61,48234.33,6029291,32287.69,6457538,33980.14,2831678,24255.85,1732561,10146.64,2899039,3819.15,4773936,20316.29,0,12480.63,693368,21934.79,3655798,8420.79,842078
2022-05-02,18,2022,Q2,1005643.35,54666.96,6833369,22903.75,4580749,16684.43,1390369,7989.38,570670,6459.72,1845634,3526.7,4408379,6728.71,0,9965.78,553654,45207.03,7534504,5629.66,562966
2022-05-09,19,2022,Q2,1019639.52,0.0,0,39813.25,7962649,42957.02,3579751,28076.02,2005429,8637.38,2467822,3585.04,4481298,5418.65,0,13202.03,733446,16095.89,2682648,13714.72,1371472
2022-05-16,20,2022,Q2,1011558.52,34170.52,4271314,31170.0,6233999,35337.55,2944795,13516.43,965459,13102.04,3743440,3324.39,4155493,9154.69,0,12902.67,716815,8037.51,1339585,15475.67,1547567
2022-05-23,21,2022,Q2,1062020.74,31125.57,3890695,36925.49,7385097,31859.02,2654918,12139.63,867116,10062.58,2875022,2506.9,3133622,6124.14,0,18182.01,1010111,24566.92,4094487,9425.1,942509
2022-05-30,22,2022,Q2,1124677.18,89902.86,11237856,43113.36,8622672,40636.13,3386344,17085.14,1220366,35266.96,10076273,3177.6,3971997,10115.99,0,6751.12,375062,42288.81,7048135,12913.89,1291388
2022-06-06,23,2022,Q2,1081989.72,60686.45,7585806,47182.59,9436517,31940.54,2661711,23853.37,1703812,10734.88,3067109,4794.94,5993669,4134.13,0,18747.39,1041521,29554.96,4925826,0.0,0
2022-06-13,24,2022,Q2,1168137.86,81787.6,10223450,33745.59,6749118,36113.68,3009473,17036.31,1216879,22329.27,6379792,3660.7,4575870,3321.3,0,17091.22,949512,11251.81,1875302,8421.28,842128
2022-06-20,25,2022,Q2,1046057.02,34926.46,4365807,32273.74,6454747,30841.54,2570128,12608.29,900592,26775.86,7650245,4315.37,5394210,10850.95,0,13378.65,743258,23471.55,3911925,14243.69,1424369
2022-06-27,26,2022,Q2,909174.2,23736.58,2967072,24398.75,4879749,27530.97,2294247,18979.75,1355696,10016.27,2861790,3821.59,4776983,18277.62,0,9857.66,547647,30624.59,5104097,6773.37,677337
2022-07-04,27,2022,Q3,1017965.34,26403.45,3300431,42065.09,8413018,20237.29,1686440,11975.34,855381,9695.43,2770121,3056.37,3820462,9765.94,0,0.0,0,15301.39,2550231,9057.86,905785
2022-07-11,28,2022,Q3,1076321.08,32564.86,4070607,56842.93,11368585,32596.49,2716373,14953.58,1068113,10103.04,2886582,3509.22,4386526,10470.43,0,12303.39,683521,14333.94,2388989,13640.39,1364039
2022-07-18,29,2022,Q3,1055883.72,62894.27,7861783,43287.72,8657544,52165.97,4347163,12495.77,892555,11518.77,3291077,2247.12,2808904,8226.77,0,6548.58,363809,14578.75,2429790,9707.7,970769
2022-07-25,30,2022,Q3,939104.54,72167.27,9020908,45900.71,9180141,25587.26,2132271,16689.65,1192117,10610.71,3031632,4138.1,5172629,8619.88,0,20349.0,1130499,17347.85,2891307,19013.72,1901372
2022-08-01,31,2022,Q3,790527.85,44091.86,5511482,0.0,0,22048.68,1837390,15215.93,1086852,7704.43,2201266,4059.05,5073806,3906.08,0,9804.34,544685,10210.89,1701815,0.0,0
2022-08-08,32,2022,Q3,918158.41,36559.28,4569909,28017.67,5603534,23812.12,1984343,16723.27,1194519,14135.25,4038641,3399.86,4249830,5482.86,0,11184.33,621351,0.0,0,4437.46,443745
2022-08-15,33,2022,Q3,898582.28,24552.92,3069115,31513.15,6302629,18314.18,1526182,0.0,0,10597.34,3027811,3244.83,4056043,14693.98,0,46111.93,2561774,19619.61,3269935,17007.28,1700728
2022-08-22,34,2022,Q3,1028742.7,79387.5,9923437,53396.98,10679396,26587.54,2215628,12342.42,881601,31632.17,9037761,3064.3,3830373,4587.04,0,15211.73,845096,42095.06,7015843,12190.24,1219023
2022-08-29,35,2022,Q3,983090.05,82300.09,10287510,24191.88,4838376,27311.77,2275980,16441.18,1174369,17927.92,5122262,3894.15,4867687,6761.11,0,12167.36,675964,10792.94,1798824,5960.83,596083
2022-09-05,36,2022,Q3,1017980.63,36713.32,4589164,37014.38,7402876,32407.05,2700587,7117.33,508380,12110.14,3460040,4084.11,5105131,16506.82,0,10123.12,562395,27843.83,4640638,0.0,0
2022-09-12,37,2022,Q3,1164878.44,34477.6,4309699,55888.19,11177637,41311.55,3442629,26374.54,1883895,17682.54,5052153,1979.92,2474895,9660.86,0,0.0,0,42271.15,7045191,12669.36,1266936
2022-09-19,38,2022,Q3,1104543.48,53155.5,6644436,52899.94,10579987,26565.86,2213821,15965.52,1140393,17399.77,4971362,3255.27,4069085,9907.07,0,5276.78,293154,91405.21,15234201,45785.23,4578523
2022-09-26,39,2022,Q3,1104046.95,107800.1,13475012,38559.92,7711983,27154.75,2262895,15805.65,1128974,21595.85,6170243,2797.79,3497234,7711.14,0,23823.79,1323544,24482.38,4080397,0.0,0
2022-10-03,40,2022,Q4,1342394.02,98105.88,12263235,110344.81,22068961,35198.99,2933249,17658.64,1261331,9545.64,2727324,4549.95,5687440,15855.79,0,13243.19,735732,31442.95,5240491,14625.22,1462522
2022-10-10,41,2022,Q4,1385085.83,83745.12,10468140,51203.55,10240710,67538.03,5628169,17567.29,1254806,13368.52,3819578,8294.33,10367912,20789.73,0,7998.16,444342,87064.16,14510693,33133.81,3313381
2022-10-17,42,2022,Q4,1259084.82,91980.76,11497594,63275.8,12655159,53021.21,4418434,33312.96,2379497,25253.15,7215184,5465.63,6832040,5667.88,0,24140.46,1341136,49539.71,8256617,36522.0,3652199
2022-10-24,43,2022,Q4,1809093.9,162907.53,20363440,94904.96,18980991,116057.02,9671418,42829.8,3059271,15617.76,4462217,4498.55,5623190,20620.69,0,0.0,0,40442.94,6740489,14267.64,1426763
2022-10-31,44,2022,Q4,1358727.26,70693.99,8836748,58139.52,11627904,80372.12,6697676,28168.12,2012008,37735.33,10781524,7257.85,9072313,19029.49,0,7019.82,389989,9887.58,1647930,13769.55,1376955
2022-11-07,45,2022,Q4,1575203.3,170918.6,21364824,61988.57,12397714,37824.49,3152040,32927.8,2351986,30251.58,8643308,6203.52,7754404,22193.1,0,11961.94,664552,27789.77,4631628,9160.38,916037
2022-11-14,46,2022,Q4,1595790.27,140105.73,17513216,70274.93,14054986,35082.13,2923510,49627.58,3544827,31118.27,8890933,7090.05,8862559,16953.7,0,13928.84,773824,36646.26,6107709,16763.81,1676380
2022-11-21,47,2022,Q4,2341470.71,70129.46,8766182,54524.68,10904936,116219.58,9684965,44039.34,3145667,35605.72,10173062,10759.98,13449973,19283.94,0,6373.28,354071,21286.38,3547730,12461.59,1246159
2022-11-28,48,2022,Q4,2909893.48,108375.69,13546960,100108.48,20021695,70499.33,5874943,36135.3,2581092,37172.87,10620819,6112.34,7640427,10866.39,0,48959.41,2719967,105263.88,17543980,43711.93,4371193
2022-12-05,49,2022,Q4,2136828.1,111370.55,13921318,88801.24,17760247,102696.56,8558046,29802.66,2128761,45383.81,12966803,7118.56,8898204,26846.28,0,13799.52,766639,52466.65,8744442,12541.3,1254129
2022-12-12,50,2022,Q4,2150895.46,90339.58,11292447,105348.29,21069657,73972.48,6164373,0.0,0,28520.4,8148685,8082.12,10102648,20757.68,0,26197.66,1455425,25389.49,4231581,21974.6,2197460
2022-12-19,51,2022,Q4,2302222.56,114210.22,14276276,79488.24,15897648,88243.74,7353644,25729.47,1837818,25057.09,7159167,6232.94,7791169,16936.63,0,12194.74,677485,44352.75,7392124,22802.85,2280284
2022-12-26,52,2022,Q4,2057356.91,142180.1,17772512,83525.53,16705106,134832.2,11236016,71284.55,5091753,26676.14,7621754,9410.15,11762693,21123.05,0,79780.31,4432239,70739.07,11789845,19955.44,1995543
2023-01-02,53,2023,Q1,934415.41,19018.94,2377367,29509.58,5901915,21587.02,1798918,23393.05,1670932,11495.69,3284483,3075.94,3844921,11107.9,0,27977.85,1554324,6219.74,1036623,25334.06,2533405
