campaign_id,channel,quarter,objective,budget_usd,cpm_usd,impressions_est,is_paid
camp_0001,paid_social_facebook,Q1,upper,29268.98,12.5,2341518,True
camp_0002,paid_social_facebook,Q2,upper,49604.31,12.5,3968344,True
camp_0003,paid_social_facebook,Q3,upper,87962.8,12.5,7037023,True
camp_0004,paid_social_facebook,Q4,upper,68672.05,12.5,5493763,True
camp_0005,paid_social_instagram,Q1,upper,37357.78,14.0,2668412,True
camp_0006,paid_social_instagram,Q2,upper,49900.57,14.0,3564326,True
camp_0007,paid_social_instagram,Q3,upper,36400.79,14.0,2600056,True
camp_0008,paid_social_instagram,Q4,upper,94769.82,14.0,6769273,True
camp_0009,paid_search_google,Q1,conversion,41427.08,8.0,5178384,True
camp_0010,paid_search_google,Q2,conversion,33779.75,8.0,4222468,True
camp_0011,paid_search_google,Q3,conversion,53082.82,8.0,6635352,True
camp_0012,paid_search_google,Q4,conversion,140066.68,8.0,17508335,True
camp_0013,paid_search_bing,Q1,conversion,102707.05,5.5,18674008,True
camp_0014,paid_search_bing,Q2,conversion,76602.22,5.5,13927675,True
camp_0015,paid_search_bing,Q3,conversion,61012.58,5.5,11093196,True
camp_0016,paid_search_bing,Q4,conversion,179129.53,5.5,32569004,True
camp_0017,display_programmatic,Q1,upper,105456.43,3.5,30130407,True
camp_0018,display_programmatic,Q2,upper,41529.5,3.5,11865572,True
camp_0019,display_programmatic,Q3,upper,49696.19,3.5,14198910,True
camp_0020,display_programmatic,Q4,upper,126808.37,3.5,36230962,True
camp_0021,email_newsletter,Q1,conversion,73787.39,1.0,73787391,True
camp_0022,email_newsletter,Q2,conversion,44068.1,1.0,44068100,True
camp_0023,email_newsletter,Q3,conversion,51095.53,1.0,51095530,True
camp_0024,email_newsletter,Q4,conversion,165024.66,1.0,165024659,True
camp_0025,email_retargeting,Q1,conversion,63673.73,1.2,53061441,True
camp_0026,email_retargeting,Q2,conversion,45814.8,1.2,38178999,True
camp_0027,email_retargeting,Q3,conversion,107890.32,1.2,89908603,True
camp_0028,email_retargeting,Q4,conversion,96815.97,1.2,80679975,True
camp_0029,influencer,Q1,upper,65240.39,18.0,3624466,True
camp_0030,influencer,Q2,upper,33084.29,18.0,1838016,True
camp_0031,influencer,Q3,upper,101594.33,18.0,5644129,True
camp_0032,influencer,Q4,upper,136383.68,18.0,7576871,True
camp_0033,organic_search_seo,Q1,conversion,0.0,0.0,0,False
camp_0034,organic_search_seo,Q2,conversion,0.0,0.0,0,False
camp_0035,organic_search_seo,Q3,conversion,0.0,0.0,0,False
camp_0036,organic_search_seo,Q4,conversion,0.0,0.0,0,False
camp_0037,direct,Q1,conversion,0.0,0.0,0,False
camp_0038,direct,Q2,conversion,0.0,0.0,0,False
camp_0039,direct,Q3,conversion,0.0,0.0,0,False
camp_0040,direct,Q4,conversion,0.0,0.0,0,False
