journey_id,user_id,conversion_timestamp,order_value_usd,n_touchpoints,journey_span_days,converting_channel,segment
j_186d33f4aa,u_dbdc0f6692fc,2023-02-11 11:11:24,176.58,1,0,paid_social_facebook,repeat_customer
j_8e665bc91d,u_66a7938e3f52,2023-07-05 02:12:51,62.06,1,0,direct,high_intent_shopper
j_598e246034,u_419f33caaada,2023-06-14 20:48:28,119.99,3,2,email_newsletter,high_intent_shopper
j_d8092b793c,u_c56bc28e84c7,2023-10-27 09:39:53,130.27,1,0,paid_search_bing,high_intent_shopper
j_561dac4c6f,u_e5cb318b18c3,2023-02-14 01:33:57,88.95,1,0,paid_social_instagram,high_intent_shopper
j_749f699bd4,u_fd8eda6ad9e4,2023-10-22 23:30:58,134.76,2,12,display_programmatic,high_intent_shopper
j_a1d98e6823,u_aece21efadd3,2023-01-31 14:50:02,57.7,6,23,paid_search_google,price_sensitive
j_70d36b1c8a,u_22c893262f84,2023-04-27 01:42:13,73.73,1,0,display_programmatic,repeat_customer
j_3ebe9e7b72,u_71d9371ed583,2023-05-22 13:27:41,67.67,4,19,paid_search_google,price_sensitive
j_c3e2acd8de,u_b2a5346648ed,2023-04-01 23:06:43,45.21,3,20,paid_social_instagram,new_visitor
j_e1932508c4,u_df0f4ff38a36,2023-12-22 01:26:51,90.38,1,0,paid_search_bing,repeat_customer
j_215cd236f0,u_56cb341d76b4,2023-05-25 02:51:55,87.27,6,19,paid_search_bing,new_visitor
j_fe07efe8bc,u_0c7a11693653,2023-10-19 00:15:16,40.81,4,15,direct,brand_aware_browser
j_3b767ec8bf,u_af632c3f07b2,2023-02-05 08:18:09,67.85,9,28,direct,new_visitor
j_97313fe021,u_55a22c0cbaef,2023-08-20 17:29:18,76.07,3,14,email_newsletter,high_intent_shopper
j_466544c131,u_4ee8e827c1c0,2023-02-21 09:12:12,82.78,2,14,paid_search_bing,high_intent_shopper
j_4581b34717,u_7c754705e478,2023-07-08 06:03:51,112.55,8,18,organic_search_seo,new_visitor
j_e25cff7cbd,u_418954349452,2023-09-30 16:21:39,40.71,4,25,paid_social_facebook,new_visitor
j_352895710e,u_5c54bf543623,2023-10-09 10:41:47,41.35,1,0,paid_search_bing,high_intent_shopper
j_7a63fbbede,u_4cb202dc7c69,2023-04-03 09:11:29,135.9,6,17,paid_search_google,repeat_customer
j_b9c6d23485,u_2a0bf328c7a3,2023-11-16 21:24:37,83.22,1,0,direct,high_intent_shopper
j_962a414501,u_7b66f1494819,2023-10-29 12:57:06,46.75,8,28,paid_search_google,brand_aware_browser
j_95da977430,u_29354439cc6c,2023-07-03 21:57:23,89.14,1,0,paid_social_facebook,repeat_customer
j_b5bccb86ae,u_7ce2def1da44,2023-04-10 00:35:11,139.54,2,9,influencer,high_intent_shopper
j_cc1ada1719,u_9e1081e7e330,2023-08-28 18:41:05,120.06,1,0,display_programmatic,repeat_customer
j_c77a35a58d,u_f0ab877f54bd,2023-09-23 16:02:00,32.44,2,20,display_programmatic,price_sensitive
j_7704ad4e2b,u_c45f42b3c360,2023-10-07 22:49:31,82.85,6,9,paid_search_google,brand_aware_browser
j_79bf1e4cc5,u_ca3e5c50fdda,2023-10-14 10:37:40,86.07,3,5,paid_social_facebook,repeat_customer
j_718db2b660,u_e8bb16b46075,2023-02-14 06:31:41,185.44,1,0,email_newsletter,repeat_customer
j_9c682edcc6,u_a2fd069cbfcd,2023-09-08 04:56:12,37.28,5,22,email_retargeting,price_sensitive
j_2040becc67,u_eb5437ee368e,2023-05-09 07:02:22,53.5,4,11,paid_search_google,price_sensitive
j_025b8b6e77,u_0ad64927c48f,2023-04-21 13:29:11,120.26,2,16,email_newsletter,high_intent_shopper
j_bedb9aeb26,u_e5e331ad1605,2023-11-07 22:25:28,79.56,2,0,paid_search_google,high_intent_shopper
