user_id,segment,journey_start,converted,n_touchpoints,device_primary,country
u_7ffacb1ff61e,brand_aware_browser,2023-02-20,0,1,desktop,US
u_e9b2b718093f,new_visitor,2023-03-29,0,1,mobile,CA
u_1dcb27837ce4,new_visitor,2023-06-12,0,6,desktop,AU
u_f3403ba51606,price_sensitive,2023-09-29,0,9,mobile,US
u_d0185548ffd0,brand_aware_browser,2023-08-23,0,5,mobile,DE
u_5fad355d77aa,brand_aware_browser,2023-03-09,0,4,mobile,US
u_667976710ae3,high_intent_shopper,2023-09-16,0,1,desktop,US
u_1003112cca6b,new_visitor,2023-03-03,0,5,tablet,US
u_dbdc0f6692fc,repeat_customer,2023-01-31,1,1,mobile,US
u_316c8ab0ad84,new_visitor,2023-05-09,0,5,mobile,US
u_f82adc5b084c,high_intent_shopper,2023-11-14,0,1,mobile,UK
u_9f2d189eb230,new_visitor,2023-09-14,0,8,desktop,US
u_095d50b44d84,new_visitor,2023-06-10,0,2,mobile,AU
u_bca60aa73a6d,brand_aware_browser,2023-06-19,0,7,mobile,AU
u_1213a38bc7e7,brand_aware_browser,2023-07-12,0,4,mobile,UK
u_3d22877993b4,brand_aware_browser,2023-05-24,0,8,desktop,US
u_5206b7406941,brand_aware_browser,2023-02-21,0,6,tablet,US
u_b0d9ee85bca4,price_sensitive,2023-08-30,0,2,tablet,US
u_1ea0e53c0a27,price_sensitive,2023-02-04,0,3,desktop,UK
u_182930bb4a93,brand_aware_browser,2023-03-13,0,5,mobile,US
u_790ba294254a,repeat_customer,2023-06-24,0,1,desktop,DE
u_2adc6a0f7976,high_intent_shopper,2023-05-10,0,6,mobile,US
u_80e45a361558,brand_aware_browser,2023-03-23,0,6,mobile,US
u_4a9ee283b595,brand_aware_browser,2023-03-15,0,1,mobile,UK
u_12bc5f16a3b0,price_sensitive,2023-05-18,0,1,mobile,US
u_a34666597b29,new_visitor,2023-11-28,0,6,mobile,US
u_a7ebc3df8523,brand_aware_browser,2023-07-05,0,5,mobile,UK
u_f48a91d0c62d,price_sensitive,2023-10-05,0,5,desktop,UK
u_c52f9f614b57,price_sensitive,2023-02-10,0,1,desktop,US
u_d5e0d9cf4f5a,high_intent_shopper,2023-01-05,0,1,mobile,US
u_7d64787c7391,repeat_customer,2023-03-27,0,2,desktop,US
u_c18115b65059,brand_aware_browser,2023-05-12,0,4,mobile,UK
u_fbfbe1945531,high_intent_shopper,2023-08-21,0,3,desktop,DE
u_9ce60904326e,new_visitor,2023-07-29,0,3,tablet,DE
u_a444009aa9b1,new_visitor,2023-08-10,0,5,desktop,UK
u_15f0206f80fd,new_visitor,2023-04-20,0,5,desktop,DE
u_979359b0c020,brand_aware_browser,2023-01-22,0,4,mobile,US
u_61f81fe3d463,high_intent_shopper,2023-03-01,0,1,desktop,US
u_ce9b0770e9d5,repeat_customer,2023-11-22,0,1,mobile,UK
u_d50714ce81a7,price_sensitive,2023-09-24,0,1,desktop,CA
u_66a7938e3f52,high_intent_shopper,2023-06-23,1,1,mobile,CA
u_5eff5519d8b2,price_sensitive,2023-06-18,0,3,desktop,CA
u_419f33caaada,high_intent_shopper,2023-05-15,1,3,desktop,US
u_736ab3767d0c,new_visitor,2023-10-07,0,7,mobile,UK
u_d53e5a106290,brand_aware_browser,2023-05-16,0,4,mobile,AU
u_b63cb2a47523,repeat_customer,2023-09-25,0,2,mobile,UK
u_9a881da9a5ca,brand_aware_browser,2023-08-18,0,3,mobile,CA
u_8389b1622817,price_sensitive,2023-02-13,0,3,mobile,US
u_98839c0f2709,price_sensitive,2023-01-23,0,6,mobile,US
u_c2c918ba2dfc,brand_aware_browser,2023-10-05,0,6,mobile,US
u_79cbaa269da7,new_visitor,2023-06-22,0,7,desktop,AU
u_edc92baf9f29,new_visitor,2023-01-22,0,8,mobile,US
u_2a729eb7b68e,new_visitor,2023-02-08,0,5,mobile,US
u_a87ca5ca0196,new_visitor,2023-10-24,0,6,mobile,US
u_d20565b5eae4,price_sensitive,2023-02-25,0,4,desktop,US
u_f9912928b32c,new_visitor,2023-11-19,0,6,mobile,CA
u_c89a702aa3b0,high_intent_shopper,2023-05-04,0,1,mobile,CA
u_2c2ae8b42425,brand_aware_browser,2023-02-04,0,3,mobile,AU
u_6e5825a1b6bd,high_intent_shopper,2023-09-29,0,4,desktop,CA
u_09326701431e,brand_aware_browser,2023-05-26,0,4,desktop,US
u_919bfb39ed9b,brand_aware_browser,2023-01-22,0,5,mobile,UK
u_7c87b29c8602,brand_aware_browser,2023-01-09,0,3,mobile,CA
u_ab483c26fc6f,new_visitor,2023-03-11,0,1,desktop,UK
u_54992dce9128,brand_aware_browser,2023-01-18,0,2,mobile,DE
u_6c18c30dc86a,brand_aware_browser,2023-09-01,0,6,mobile,UK
u_d386b575b398,price_sensitive,2023-08-25,0,3,mobile,CA
u_3ede2a8877ce,high_intent_shopper,2023-07-11,0,1,mobile,US
u_70456deec5cf,new_visitor,2023-08-13,0,5,mobile,AU
u_b109fe48caba,high_intent_shopper,2023-10-21,0,1,mobile,US
u_9d650fab44b8,new_visitor,2023-02-20,0,7,desktop,UK
u_b24b2bdd074a,new_visitor,2023-11-10,0,8,mobile,AU
u_351e5cba3a9f,brand_aware_browser,2023-10-05,0,3,desktop,US
u_3e97e19cba06,high_intent_shopper,2023-07-03,0,2,mobile,US
u_6f323f3e7d55,new_visitor,2023-04-18,0,9,mobile,US
u_40755e2f8d10,new_visitor,2023-01-29,0,5,desktop,CA
u_bcb97993bbb4,new_visitor,2023-07-02,0,7,mobile,US
u_6746e213a14a,new_visitor,2023-05-01,0,7,desktop,UK
